paragraph_id,combined_proposition_similarity
1183,0.708631
1184,0.935146
1185,0.824673
1186,0.866105
1187,0.980681
1188,0.746243
1189,0.824363
1190,0.904639
1191,0.873203
1192,0.864586
1193,0.957545
1194,0.931476
1195,0.948695
1196,0.970866
1197,0.957851
1198,0.965798
1199,0.956498
1200,0.877363
1201,0.986288
1202,0.924648
1203,0.937260
1204,0.985845
1205,0.965852
1206,0.903523
1207,0.977794
1208,0.859009
1209,0.965282
1210,0.968461
1211,0.987804
1212,0.906452
1213,0.967536
1214,0.944551
1215,0.948969
1216,0.975940
1217,0.757297
1218,0.724880
1219,0.921477
1220,0.959093
1221,0.962334
1222,0.851933
1223,0.877497
1224,0.950081
1225,0.795288
1226,0.975153
1227,0.943595
1228,0.898679
1229,0.948008
1230,0.983488
1231,0.932983
1232,0.886799
1233,0.969644
1234,0.927568
1235,0.893306
1236,0.904584
1237,0.987441
1238,0.938772
1239,0.922283
1240,0.732509
1241,0.919218
1242,0.900691
1243,0.987796
1244,0.970832
1245,0.982974
1246,0.841186
1247,0.937616
1248,0.965904
1249,0.877785
1250,0.963383
1251,0.852187
1252,0.985156
1253,0.947483
1254,0.972420
1255,0.984371
1256,0.962691
1257,0.865870
1258,0.989432
1259,0.925322
1260,0.809184
1261,0.861417
1262,0.874128
1263,0.918395
1264,0.941229
1265,0.752040
1266,0.916166
1267,0.959561
1268,0.952797
1269,0.935159
1270,0.950111
1271,0.918932
1272,0.962749
1273,0.789433
1274,0.980096
1275,0.956369
1276,0.873080
1277,0.949105
1278,0.966385
1279,0.967471
1280,0.692544
1281,0.834807
1282,0.944327
1283,0.965883
1284,0.894556
1285,0.939283
1286,0.941418
1287,0.733285
1288,0.974028
1289,0.979117
1290,0.857328
1291,0.919318
1292,0.970581
1293,0.911505
1294,0.945735
1295,0.869183
1296,0.926616
1297,0.947555
1298,0.834685
1299,0.936654
1300,0.936496
1301,0.896720
1302,0.969294
1303,0.941838
1304,0.944765
1305,0.846446
1306,0.779676
1307,0.976449
1308,0.862701
1309,0.883782
1310,0.951348
1311,0.864849
1312,0.937670
1313,0.966539
1314,0.968116
1315,0.938080
1316,0.954942
1317,0.962320
1318,0.968652
1319,0.962313
1320,0.700502
1321,0.955126
1322,0.965953
1323,0.976485
1324,0.974143
1325,0.971088
1326,0.861744
1327,0.924202
1328,0.901170
1329,0.906689
1330,0.936787
1331,0.917913
1332,0.795598
1333,0.853682
1334,0.918362
1335,0.959213
1336,0.772282
1337,0.865040
1338,0.912691
1339,0.938956
1340,0.872211
1341,0.983286
1342,0.945998
1343,0.874757
1344,0.947622
1345,0.814680
1346,0.972953
1347,0.926503
1348,0.854766
1349,0.954449
1350,0.880354
1351,0.964392
1352,0.926039
1353,0.971042
1354,0.956454
1355,0.877173
1356,0.910792
1357,0.903662
1358,0.920455
1359,0.923498
1360,0.983304
1361,0.946407
1362,0.862386
1363,0.837571
1364,0.953508
1365,0.897725
1366,0.961590
1367,0.910050
1368,0.968331
1369,0.969688
1370,0.844882
1371,0.941235
1372,0.824251
1373,0.937854
1374,0.872772
1375,0.932828
1376,0.876085
1377,0.940515
1378,0.763359
1379,0.978934
1380,0.860914
1381,0.940877
1382,0.982396
1383,0.970260
1384,0.737070
1385,0.970109
1386,0.850861
1387,0.867177
1388,0.934660
1389,0.961186
1390,0.941629
1391,0.799201
1392,0.902048
1393,0.913764
1394,0.913146
1395,0.950134
1396,0.852473
1397,0.956112
1398,0.832381
1399,0.939554
1400,0.805750
1401,0.971765
1402,0.882072
1403,0.855148
1404,0.976712
1405,0.964724
1406,0.759652
1407,0.873407
1408,0.976134
1409,0.903525
1410,0.979496
1411,0.941020
1412,0.874313
1413,0.792118
1414,0.977574
1415,0.963102
1416,0.945425
1417,0.792020
1418,0.801522
1419,0.904916
1420,0.894211
1421,0.977452
1422,0.963651
1423,0.908539
1424,0.939696
1425,0.894374
1426,0.967600
1427,0.975961
1428,0.847150
1429,0.956259
1430,0.946206
1431,0.943999
1432,0.959100
1433,0.795600
1434,0.902076
1435,0.901431
1436,0.938215
1437,0.966282
1438,0.887989
1439,0.970653
1440,0.909770
1441,0.946788
1442,0.962837
1443,0.948176
1444,0.879100
1445,0.955734
1446,0.967369
1447,0.888461
1448,0.914181
1449,0.896053
1450,0.976720
1451,0.939761
1452,0.953491
1453,0.923336
1454,0.918364
1455,0.961989
1456,0.923257
1457,0.809639
1458,0.935224
1459,0.915179
1460,0.979293
1461,0.917809
1462,0.960383
1463,0.902381
1464,0.888117
1465,0.933428
1466,0.943037
1467,0.949183
1468,0.936155
1469,0.788287
1470,0.820173
1471,0.958306
1472,0.949829
1473,0.943490
1474,0.941017
1475,0.958767
1476,0.902468
1477,0.982535
1478,0.960732
1479,0.923123
1480,0.824054
1481,0.895693
1482,0.969140
1483,0.949698
1484,0.916689
1485,0.966583
1486,0.695833
1487,0.849490
1488,0.955807
1489,0.976118
1490,0.971722
1491,0.936176
1492,0.959101
1493,0.806761
1494,0.771212
1495,0.978582
1496,0.928895
1497,0.967060
1498,0.927236
1499,0.935520
1500,0.961766
1501,0.865622
1502,0.977826
1503,0.906657
1504,0.895385
1505,0.851801
1506,0.943338
1507,0.824168
1508,0.774003
1509,0.849116
1510,0.939672
1511,0.941509
1512,0.903337
1513,0.950002
1514,0.965709
1515,0.902384
1516,0.946496
1517,0.904143
1518,0.812111
1519,0.941413
1520,0.968592
1521,0.894709
1522,0.926345
1523,0.875891
1524,0.971544
1525,0.792967
1526,0.921838
1527,0.975835
1528,0.790056
1529,0.803789
1530,0.961386
1531,0.913618
