paragraph_id,max_hops
1552,6
1553,11
1554,3
1555,7
1556,9
1557,6
1558,8
1559,7
1560,7
1561,7
1562,5
1563,5
1564,9
1565,8
1566,7
1567,8
1568,8
1569,10
1570,10
1571,5
1572,5
1573,6
1574,5
1575,9
1576,9
1577,4
1578,7
1579,9
1580,6
1581,7
1582,5
1583,5
1584,6
1585,6
1586,4
1587,6
1588,4
1589,8
1590,7
1591,10
1592,8
1593,7
1594,7
1595,6
1596,4
1597,9
1598,9
1599,12
1600,7
1601,6
1602,6
1603,8
1604,8
1605,10
1606,7
1607,7
1608,7
1609,8
1610,7
1611,8
1612,6
1613,8
1614,7
1615,5
1616,9
1617,4
1618,9
1619,6
1620,6
1621,6
1622,8
1623,7
1624,6
1625,8
1626,7
1627,9
1628,7
1629,5
1630,8
1631,9
1632,7
1633,6
1634,9
1635,9
1636,7
1637,5
1638,8
1639,7
1640,7
1641,10
1642,8
1643,5
1644,8
1645,4
1646,5
1647,6
1648,7
1649,5
1650,12
1651,6
1652,6
1653,7
1654,6
1655,6
1656,8
1657,6
1658,7
1659,10
1660,7
1661,10
1662,7
1663,10
1664,8
1665,5
1666,8
1667,5
1668,8
1669,8
1670,8
1671,7
1672,6
1673,7
1674,5
1675,7
1676,6
1677,6
1678,6
1679,9
1680,6
1681,7
1682,8
1683,6
1684,5
1685,9
1686,7
1687,9
1688,8
1689,7
1690,9
1691,8
1692,8
1693,4
1694,6
1695,8
1696,7
1697,5
1698,7
1699,6
1700,7
1701,8
1702,8
1703,6
1704,4
1705,7
1706,8
1707,7
1708,5
1709,6
1710,11
1711,6
1712,7
1713,8
1714,5
1715,8
1716,8
1717,8
1718,5
1719,10
1720,7
1721,6
1722,6
1723,7
1724,7
1725,6
1726,8
1727,4
1728,6
1729,5
1730,8
1731,7
1732,7
1733,8
1734,6
1735,9
1736,9
1737,6
1738,8
1739,6
1740,8
1741,6
1742,6
1743,6
1744,10
1745,8
1746,9
1747,8
1748,7
1749,8
1750,7
1751,9
1752,6
1753,8
1754,6
1755,9
1756,6
1757,8
1758,7
1759,8
1760,5
1761,6
1762,6
1763,7
1764,8
1765,8
1766,7
1767,8
1768,5
1769,6
1770,10
1771,6
1772,6
1773,9
1774,6
1775,5
1776,7
1777,7
1778,7
1779,8
1780,8
1781,7
1782,8
1783,14
1784,8
1785,5
1786,10
1787,11
1788,4
1789,7
1790,6
1791,5
1792,7
1793,5
1794,6
1795,7
1796,7
1797,7
1798,4
1799,6
1800,5
1801,7
1802,7
1803,5
1804,7
1805,6
1806,6
1807,5
1808,6
1809,8
1810,7
1811,7
1812,6
1813,8
1814,8
1815,8
1816,7
1817,9
1818,7
1819,5
1820,5
1821,6
1822,10
1823,5
1824,7
1825,4
1826,8
1827,7
1828,7
1829,7
1830,11
1831,7
1832,7
1833,7
1834,8
1835,7
1836,6
1837,10
1838,6
1839,7
1840,5
1841,6
1842,6
1843,3
1844,8
1845,9
1846,8
1847,8
1848,9
1849,7
1850,6
1851,9
1852,7
1853,8
1854,7
1855,7
1856,7
1857,9
1858,5
1859,6
1860,5
1861,7
1862,5
1863,7
1864,5
1865,11
1866,6
1867,6
1868,10
1869,6
1870,8
1871,7
1872,8
1873,9
1874,7
1875,8
1876,7
1877,7
1878,8
1879,8
1880,6
1881,8
1882,8
1883,6
1884,7
1885,7
1886,5
1887,6
1888,6
1889,5
1890,8
1891,6
1892,7
1893,6
1894,8
1895,7
1896,7
1897,8
1898,7
1899,6
1900,12
1901,6
1902,7
